SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,Ring1_Positions,Ring2_Positions
CCCCNc1nnc(COc2ccc(-c3ccccc3)cc2)o1,0.32459446,0.733255073,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1oc(-c2ccc(-c3ccccc3)cc2)nc1CCOc1ccc(C[C@H](OCC(F)(F)F)C(=O)O)c2ccccc12,0.312988093,0.828064061,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCOC1(c2ccc(-c3ccccc3)cc2)CN(C)CCO1,0.152924773,0.961660745,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
NC(=O)CC(=O)c1cccc(-c2ccccc2)c1,0.283665998,0.793444089,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)Oc2ccccc2)cc1,0.165840351,0.9712875,single-ring-substituted,2,0,"{'ortho': 0, 'meta': 1, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CC1(C)[C@H]2C[C@H](NC(=O)c3ccc(-c4ccccc4)cc3)[C@@H](C/C=C\CCCC(=O)O)[C@@H]1C2,0.327931572,0.762178235,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
N#Cc1ccc(Cn2cncn2)c(-c2ccccc2)c1,0.56776479,0.659320441,single-ring-substituted,2,0,"{'ortho': 1, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O,0.124162552,0.898141849,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Cc1cccc(NC(=O)c2cccc(-c3ccccc3)c2)n1,0.094384545,0.916403393,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
CCCC(NC(=O)Cc1ccc(-c2ccccc2)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)NC(Cc1ccc(O)cc1)C(=O)NCCc1ccccc1,0.365128113,0.838459575,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
C[C@@H](CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](N)CCCNC(=N)N)c1ccccc1,0.536489499,0.825096582,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
Oc1ccc(-c2ccccc2)cc1,0.119064651,0.898961669,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
CSCC[C@H](NC(=O)c1ccc(NCc2cncn2Cc2cccc(C#N)c2)cc1-c1ccccc1)C(=O)O,0.214578692,0.951019056,single-ring-substituted,2,0,"{'ortho': 1, 'meta': 1, 'para': 0}","{'ortho': 0, 'meta': 0, 'para': 0}"
O=C1S/C(=C\c2ccc(-c3ccccc3)cc2)C(=O)N1CC(O)(O)C(F)(F)F,0.07536759,0.966934865,single-ring-substituted,1,0,"{'ortho': 0, 'meta': 0, 'para': 1}","{'ortho': 0, 'meta': 0, 'para': 0}"
